Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference,Channel (from filename),Gain Voltage (from filename),Pulse Height (from filename)
CH1,65.6,1.3,5,294,3010.011206428042,41.0,CH1,65.6,1.3
CH1,65.6,1.3,6,333,1587.0470231214117,39.0,CH1,65.6,1.3
CH1,65.6,1.6,1,135,136.99116626038898,,CH1,65.6,1.6
CH1,65.6,1.6,2,176,624.6721051147566,41.0,CH1,65.6,1.6
CH1,65.6,1.6,3,216,1533.386863934128,40.0,CH1,65.6,1.6
CH1,65.6,1.6,4,257,2588.8781602621457,41.0,CH1,65.6,1.6
CH1,65.6,1.6,5,297,3422.5290634499106,40.0,CH1,65.6,1.6
CH1,65.6,1.6,6,338,3690.6378082126134,41.0,CH1,65.6,1.6
CH1,65.6,1.6,7,379,3495.2451091098337,41.0,CH1,65.6,1.6
CH1,65.6,1.6,8,420,2912.2960950349716,41.0,CH1,65.6,1.6
CH1,65.6,1.6,9,459,2186.353233853408,39.0,CH1,65.6,1.6
CH1,65.6,1.6,10,499,1499.578257622601,40.0,CH1,65.6,1.6
CH1,65.6,1.6,11,540,967.0687100790192,41.0,CH1,65.6,1.6
CH1,65.7,1.3,1,132,2367.1962768364865,,CH1,65.7,1.3
CH1,65.7,1.3,2,174,4871.741828369441,42.0,CH1,65.7,1.3
CH1,65.7,1.3,3,217,5513.013664197234,43.0,CH1,65.7,1.3
CH1,65.7,1.3,4,260,4557.321176409581,43.0,CH1,65.7,1.3
CH1,65.7,1.3,5,302,3045.28875855925,42.0,CH1,65.7,1.3
CH1,65.7,1.3,6,344,1731.3457032624897,42.0,CH1,65.7,1.3
CH1,65.7,1.3,7,389,882.4706629541577,45.0,CH1,65.7,1.3
CH1,65.7,1.6,1,138,102.55619199340772,,CH1,65.7,1.6
CH1,65.7,1.6,2,175,472.198775183205,37.0,CH1,65.7,1.6
CH1,65.7,1.6,3,218,1192.900960294185,43.0,CH1,65.7,1.6
CH1,65.7,1.6,4,261,2126.0952119217377,43.0,CH1,65.7,1.6
CH1,65.7,1.6,5,304,2912.6045476550566,43.0,CH1,65.7,1.6
CH1,65.7,1.6,6,345,3308.414241120085,41.0,CH1,65.7,1.6
CH1,65.7,1.6,7,389,3292.0268818214136,44.0,CH1,65.7,1.6
CH1,65.7,1.6,8,431,2841.1992359006726,42.0,CH1,65.7,1.6
CH1,65.7,1.6,9,474,2236.8556312199457,43.0,CH1,65.7,1.6
CH1,65.7,1.6,10,516,1640.2020399669216,42.0,CH1,65.7,1.6
CH1,65.7,1.6,11,598,703.0699045652595,82.0,CH1,65.7,1.6
CH1,65.8,1.3,1,130,1906.6276326986576,,CH1,65.8,1.3
CH1,65.8,1.3,2,174,4086.9811739540937,44.0,CH1,65.8,1.3
CH1,65.8,1.3,3,219,4866.9074595449865,45.0,CH1,65.8,1.3
CH1,65.8,1.3,4,265,4214.096711581975,46.0,CH1,65.8,1.3
CH1,65.8,1.3,5,310,2975.1516495490137,45.0,CH1,65.8,1.3
CH1,65.8,1.3,6,354,1821.1812947884264,44.0,CH1,65.8,1.3
CH1,65.8,1.6,1,176,296.48225155325497,,CH1,65.8,1.6
CH1,65.8,1.6,2,221,794.0518701883233,45.0,CH1,65.8,1.6
CH1,65.8,1.6,3,266,1497.0382186962306,45.0,CH1,65.8,1.6
CH1,65.8,1.6,4,315,2203.799560289264,49.0,CH1,65.8,1.6
CH1,65.8,1.6,5,359,2721.2291585390813,44.0,CH1,65.8,1.6
CH1,65.8,1.6,6,405,2829.8286637945835,46.0,CH1,65.8,1.6
CH1,65.8,1.6,7,451,2649.2038078993687,46.0,CH1,65.8,1.6
CH1,65.8,1.6,8,499,2267.655651445262,48.0,CH1,65.8,1.6
CH1,65.8,1.6,9,543,1784.8569139725369,44.0,CH1,65.8,1.6
CH1,65.8,1.6,10,589,1288.5874700089482,46.0,CH1,65.8,1.6
CH1,66.0,1.3,1,124,1284.2753349014786,,CH1,66.0,1.3
CH1,66.0,1.3,2,172,2853.4389743338575,48.0,CH1,66.0,1.3
CH1,66.0,1.3,3,224,3709.4587931028223,52.0,CH1,66.0,1.3
CH1,66.0,1.3,4,274,3541.380671581916,50.0,CH1,66.0,1.3
CH1,66.0,1.3,5,324,2761.6738364789767,50.0,CH1,66.0,1.3
CH1,66.0,1.3,6,372,1888.6394937969303,48.0,CH1,66.0,1.3
CH1,66.0,1.6,1,224,521.7823954281695,,CH1,66.0,1.6
CH1,66.0,1.6,2,276,1014.3027095739252,52.0,CH1,66.0,1.6
CH1,66.0,1.6,3,325,1576.41865497626,49.0,CH1,66.0,1.6
CH1,66.0,1.6,4,374,2055.9004025997565,49.0,CH1,66.0,1.6
CH1,66.0,1.6,5,424,2298.4077746347793,50.0,CH1,66.0,1.6
CH1,66.0,1.6,6,473,2327.737978612425,49.0,CH1,66.0,1.6
CH1,66.0,1.6,7,521,2188.026550040559,48.0,CH1,66.0,1.6
CH1,66.0,1.6,8,569,1817.351250468717,48.0,CH1,66.0,1.6
CH1,66.0,1.6,9,619,1445.234751923332,50.0,CH1,66.0,1.6
CH1,66.0,1.6,10,866,205.11359717170637,247.0,CH1,66.0,1.6
